TIME_STAMP	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier System Frame Number	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier System Subframe Number	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier CQI CW0	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier Rank Index	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier System Frame Number	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier System Subframe Number	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier WideBand CQI CW0	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier Rank Index
2021-02-08 19:28:17.096582	626	6		Rank1				
2021-02-08 19:28:17.099877	630	6	15					
2021-02-08 19:28:17.461401	634	6		Rank1				
2021-02-08 19:28:17.461597	666	6		Rank1				
2021-02-08 19:28:17.464023	698	6		Rank1				
2021-02-08 19:28:17.590246					699	8	15	Rank1
2021-02-08 19:28:17.590429	702	6	15					
2021-02-08 19:28:17.593246	706	6		Rank1				
2021-02-08 19:28:17.593354	710	6	15					
2021-02-08 19:28:18.057624	714	6		Rank1				
2021-02-08 19:28:18.057916	718	6	15					
2021-02-08 19:28:18.698378	730	6		Rank1				
2021-02-08 19:28:18.698590	762	6		Rank1				
2021-02-08 19:28:18.779903	794	6		Rank1				
2021-02-08 19:28:18.782952					826	4	15	Rank1
2021-02-08 19:28:18.782958	826	6		Rank1				
2021-02-08 19:28:18.783149	830	6	15					
2021-02-08 19:28:18.879118					831	8	15	Rank1
2021-02-08 19:28:18.882853	834	6		Rank1				
2021-02-08 19:28:19.022337	838	6	15					
2021-02-08 19:28:19.022527	842	6		Rank1				
2021-02-08 19:28:19.025749	846	6	15					
2021-02-08 19:28:19.324857	850	6		Rank1				
2021-02-08 19:28:19.656828	854	6	15					
2021-02-08 19:28:19.660013	858	6		Rank1				
2021-02-08 19:28:19.660230	890	6		Rank1				
2021-02-08 19:28:19.779800	922	6		Rank1				
2021-02-08 19:28:19.779820					923	0	15	Rank1
2021-02-08 19:28:19.779865	926	6	15					
2021-02-08 19:28:19.782766	930	6		Rank1				
2021-02-08 19:28:20.293235	934	6	15					
2021-02-08 19:28:20.293586	938	6		Rank1				
2021-02-08 19:28:20.296590	942	6	15					
2021-02-08 19:28:20.616238	954	6		Rank1				
2021-02-08 19:28:20.746639	986	6		Rank1				
2021-02-08 19:28:20.750124	1018	6		Rank1				
2021-02-08 19:28:20.750193					1019	6	15	Rank1
2021-02-08 19:28:20.750260	1022	6	15					
2021-02-08 19:28:20.809538	2	6		Rank1				
2021-02-08 19:28:20.811577	6	6	15					
2021-02-08 19:28:21.257142	10	6		Rank1				
2021-02-08 19:28:21.259262	14	6	15					
2021-02-08 19:28:21.576440	26	6		Rank1				
2021-02-08 19:28:22.016171	58	6		Rank1				
2021-02-08 19:28:22.016308	90	6		Rank1				
2021-02-08 19:28:22.020051					122	3	13	Rank1
2021-02-08 19:28:22.020076	122	6		Rank1				
2021-02-08 19:28:22.023913	126	6	13					
2021-02-08 19:28:22.024081	130	6		Rank1				
2021-02-08 19:28:22.245917	134	6	14					
2021-02-08 19:28:22.249622	138	6		Rank1				
2021-02-08 19:28:22.249958	142	6	14					
2021-02-08 19:28:22.785999	154	6		Rank1				
2021-02-08 19:28:22.962621	186	6		Rank1				
2021-02-08 19:28:22.962871	218	6		Rank1				
2021-02-08 19:28:22.962878					218	8	15	Rank1
2021-02-08 19:28:22.965607	222	6	15					
2021-02-08 19:28:23.284270	226	6		Rank1				
2021-02-08 19:28:23.293170	230	6	15					
2021-02-08 19:28:23.296386	234	6		Rank1				
2021-02-08 19:28:23.784951	250	6		Rank1				
2021-02-08 19:28:23.983174	282	6		Rank1				
2021-02-08 19:28:23.983316	314	6		Rank1				
2021-02-08 19:28:23.983347					315	4	15	Rank1
2021-02-08 19:28:23.986705	318	6	15					
2021-02-08 19:28:23.987182	322	6		Rank1				
2021-02-08 19:28:24.043262	326	6	15					
2021-02-08 19:28:24.047473	330	6		Rank1				
2021-02-08 19:28:24.047624	334	6	15					
2021-02-08 19:28:24.433421	346	6		Rank1				
2021-02-08 19:28:25.197071	378	6		Rank1				
2021-02-08 19:28:25.197229	410	6		Rank1				
2021-02-08 19:28:25.197671					441	9	15	Rank1
2021-02-08 19:28:25.197691	442	6		Rank1				
2021-02-08 19:28:25.697286	446	6	15					
2021-02-08 19:28:30.366088	961	1	10					
2021-02-08 19:28:30.444926	965	1	12					
2021-02-08 19:28:30.445221					967	3	13	Rank1
2021-02-08 19:28:30.452375					967	8	13	Rank1
2021-02-08 19:28:30.550758	969	1		Rank1				
2021-02-08 19:28:30.550834					970	1	12	Rank1
2021-02-08 19:28:30.553548	973	1	12					
2021-02-08 19:28:30.553740					974	9	12	Rank1
2021-02-08 19:28:30.558048	977	1		Rank1				
2021-02-08 19:28:30.610886					979	9	12	Rank1
2021-02-08 19:28:30.610942	981	1	12					
2021-02-08 19:28:30.611147	985	1		Rank1				
2021-02-08 19:28:30.614733	989	1	13					
2021-02-08 19:28:30.748182	993	1		Rank1				
2021-02-08 19:28:30.748369	997	1	13					
2021-02-08 19:28:31.006423	1005	1	15					
2021-02-08 19:28:31.073999	9	1		Rank1				
2021-02-08 19:28:31.145118					12	7	12	Rank1
2021-02-08 19:28:31.145260	13	1	12					
2021-02-08 19:28:31.145267					13	3	15	Rank1
2021-02-08 19:28:31.145273					13	8	15	Rank1
2021-02-08 19:28:31.147941					14	9	13	Rank1
2021-02-08 19:28:31.274025	17	1		Rank1				
2021-02-08 19:28:31.274442					18	8	15	Rank1
2021-02-08 19:28:31.277353	21	1	15					
2021-02-08 19:28:31.277826	25	1		Rank1				
2021-02-08 19:28:31.317382	29	1	15					
2021-02-08 19:28:31.321152	33	1		Rank1				
2021-02-08 19:28:31.669329	37	1	15					
2021-02-08 19:28:31.676427	41	1		Rank1				
2021-02-08 19:28:31.676519	45	1	15					
2021-02-08 19:28:31.796164					76	4	14	Rank1
2021-02-08 19:28:31.796215	77	1	13					
2021-02-08 19:28:31.796376	81	1		Rank1				
2021-02-08 19:28:31.911934	85	1	14					
2021-02-08 19:28:31.913935	89	1		Rank1				
2021-02-08 19:28:32.295528	93	1	15					
2021-02-08 19:28:32.299916	97	1		Rank1				
2021-02-08 19:28:32.299966	101	1	15					
2021-02-08 19:28:32.547184	109	1	15					
2021-02-08 19:28:32.778050	141	1	14					
2021-02-08 19:28:32.844180					173	0	12	Rank1
2021-02-08 19:28:32.844197	173	1	12					
2021-02-08 19:28:32.844337	177	1		Rank1				
2021-02-08 19:28:32.847088	181	1	13					
2021-02-08 19:28:33.271235	185	1		Rank1				
2021-02-08 19:28:33.271440	189	1	13					
2021-02-08 19:28:33.594728	205	1	12					
2021-02-08 19:28:33.699861	237	1	13					
2021-02-08 19:28:33.702685	269	1	13					
2021-02-08 19:28:33.702706					269	6	13	Rank1
2021-02-08 19:28:33.702833	273	1		Rank1				
2021-02-08 19:28:33.829756	277	1	13					
2021-02-08 19:28:33.829989	281	1		Rank1				
2021-02-08 19:28:33.833244	285	1	13					
2021-02-08 19:28:33.946099	289	1		Rank1				
2021-02-08 19:28:33.946210	293	1	15					
2021-02-08 19:28:33.950080	297	1		Rank1				
2021-02-08 19:28:34.236773	301	1	15					
2021-02-08 19:28:34.554909	305	1		Rank1				
2021-02-08 19:28:34.556893	333	1	14					
2021-02-08 19:28:34.980464	365	1	15					
2021-02-08 19:28:34.980708					396	3	15	Rank1
2021-02-08 19:28:34.983665	397	1	15					
2021-02-08 19:28:34.983921	401	1		Rank1				
2021-02-08 19:28:35.219876	405	1	15					
2021-02-08 19:28:35.220008	409	1		Rank1				
2021-02-08 19:28:35.220165	413	1	15					
2021-02-08 19:28:35.793431	429	1	15					
2021-02-08 19:28:35.793718	461	1	13					
2021-02-08 19:28:35.962713					492	4	9	Rank1
2021-02-08 19:28:35.962725					492	8	9	Rank1
2021-02-08 19:28:35.962760	493	1	9					
2021-02-08 19:28:35.962961	497	1		Rank1				
2021-02-08 19:28:36.166438	501	1	12					
2021-02-08 19:28:36.183232	505	1		Rank1				
2021-02-08 19:28:36.476468	509	1	13					
2021-02-08 19:28:36.909942	525	1	13					
2021-02-08 19:28:36.910133	557	1	15					
2021-02-08 19:28:36.912954	589	1	8					
2021-02-08 19:28:36.912995					589	4	8	Rank1
2021-02-08 19:28:37.039800					590	3	8	Rank1
2021-02-08 19:28:37.042249	593	1		Rank1				
2021-02-08 19:28:37.042479	597	1	8					
